         87054601 function calls (85851824 primitive calls) in 16.283 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10006    0.004    0.000    0.009    0.000 memtypes.py:30(is_unconstrained)
      670    0.004    0.000    0.076    0.000 <frozen importlib._bootstrap_external>:1007(get_code)
    27050    0.004    0.000    0.004    0.000 opcodes.py:122(is_log)
     7101    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
7358/2049    0.003    0.000    0.004    0.000 variable.py:79(get_descendants)
    27285    0.003    0.000    0.003    0.000 opcodes.py:126(is_missing)
     1340    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
    826/3    0.003    0.000    0.389    0.130 <frozen importlib._bootstrap>:1167(_find_and_load)
     6414    0.003    0.000    0.076    0.000 tac_cfg.py:873(<listcomp>)
        3    0.003    0.001    0.004    0.001 op.py:92(filter)
     1122    0.003    0.000    0.007    0.000 typing.py:168(_type_check)
     1613    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
    825/3    0.003    0.000    0.389    0.130 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
    27912    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     1613    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:100(acquire)
    10937    0.002    0.000    0.002    0.000 _parser.py:231(__next)
      772    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      407    0.002    0.000    0.015    0.000 textwrap.py:419(dedent)
      809    0.002    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
    772/5    0.002    0.000    0.389    0.078 <frozen importlib._bootstrap>:666(_load_unlocked)
 1324/293    0.002    0.000    0.003    0.000 _parser.py:172(getwidth)
     1613    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:125(release)
10895/10827    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
     8118    0.002    0.000    0.003    0.000 _parser.py:162(__getitem__)
     8514    0.002    0.000    0.004    0.000 _parser.py:252(get)
     3821    0.002    0.000    0.004    0.000 typing.py:1280(__setattr__)
      679    0.002    0.000    0.003    0.000 functools.py:35(update_wrapper)
       89    0.002    0.000    1.094    0.012 __init__.py:1(<module>)
      157    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
      938    0.002    0.000    0.002    0.000 evm_cfg.py:15(__init__)
      308    0.002    0.000    0.003    0.000 enum.py:233(__set_name__)
      936    0.002    0.000    0.002    0.000 evm_cfg.py:70(__update_evmop_refs)
       32    0.002    0.000    0.002    0.000 {built-in method builtins.eval}
       20    0.002    0.000    0.004    0.000 enum.py:1625(convert_class)
      518    0.002    0.000    0.008    0.000 typing.py:1336(__init__)
      760    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
      678    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
    10241    0.001    0.000    0.001    0.000 {built-in method builtins.hex}
     2377    0.001    0.000    0.008    0.000 tac_cfg.py:813(<listcomp>)
        1    0.001    0.001    0.003    0.003 op.py:425(export_links)
  491/126    0.001    0.000    0.023    0.000 _parser.py:447(_parse_sub)
     4170    0.001    0.000    0.002    0.000 typing.py:1229(_is_dunder)
      614    0.001    0.000    0.002    0.000 _inspect.py:65(getargs)
       82    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
     1643    0.001    0.000    0.003    0.000 memtypes.py:440(__init__)
     1340    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
       32    0.001    0.000    0.003    0.000 __init__.py:348(namedtuple)
     3225    0.001    0.000    0.003    0.000 {built-in method builtins.max}
     7580    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
    11688    0.001    0.000    0.001    0.000 {built-in method builtins.any}
     1201    0.001    0.000    0.002    0.000 inspect.py:2676(__init__)
5984/5980    0.001    0.000    0.002    0.000 {built-in method builtins.setattr}
      670    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
      670    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      113    0.001    0.000    0.004    0.000 inspect.py:2327(_signature_from_function)
    15551    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
  770/391    0.001    0.000    0.235    0.001 <frozen importlib._bootstrap>:1209(_handle_fromlist)
    670/3    0.001    0.000    0.389    0.130 <frozen importlib._bootstrap_external>:934(exec_module)
  772/771    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
      781    0.001    0.000    0.046    0.000 __init__.py:272(_compile)
      479    0.001    0.000    0.002    0.000 enum.py:352(__setitem__)
        1    0.001    0.001    2.624    2.624 api.py:80(load_from_dump)
       23    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
     2010    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      618    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
     3225    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
